county,internal_id,i,year,region_xland,county_total_xland,acre_share,direct_value_add,total_value_add,direct_jobs,total_jobs,total_revenue
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Bull Ditch,Cereal Grain,2024,5,2242,0.002230152,0.002230152,0.001170241,9.75E-09,2.25E-08,0.002230152
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Cascade,Cereal Grain,2024,174,2242,0.077609277,0.077609277,0.040724382,3.39E-07,7.84E-07,0.077609277
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,Ellensburg Wat,Cereal Grain,2024,297,2242,0.132471008,0.132471008,0.069512307,5.79E-07,1.34E-06,0.132471008
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,KRD,Cereal Grain,2024,1707,2242,0.761373773,0.761373773,0.399520228,3.33E-06,7.69E-06,0.761373773
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,West Side,Cereal Grain,2024,59,2242,0.026315789,0.026315789,0.013808842,1.15E-07,2.66E-07,0.026315789
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Bull Ditch,Hay/Silage,2024,777,38931,0.019958388,0.019958388,0.010472885,8.72E-08,2.02E-07,0.019958388
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Cascade,Hay/Silage,2024,5914,38931,0.151909789,0.151909789,0.079712535,6.64E-07,1.53E-06,0.151909789
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,Ellensburg Wat,Hay/Silage,2024,6386,38931,0.164033803,0.164033803,0.086074442,7.17E-07,1.66E-06,0.164033803
Kittitas,KRD,Hay/Silage,2024,21949,38931,0.563792351,0.563792351,0.295842143,2.46E-06,5.69E-06,0.563792351
Kittitas,KRD,Hay/Silage,2024,21949,38931,0.563792351,0.563792351,0.295842143,2.46E-06,5.69E-06,0.563792351
Kittitas,KRD,Hay/Silage,2024,21949,38931,0.563792351,0.563792351,0.295842143,2.46E-06,5.69E-06,0.563792351
